time,icao24,lat,lon,velocity,heading,vertrate,geoaltitude,lastcontact
1526875200.0,aa600a,40.29184632,-86.03331132,223.7648085,320.7847384,-4.22656,11239.5,1526875200.0
1526875200.0,a1d242,33.11961365,-111.7979187,50.41813665,180.5846305,2.92608,1546.86,1526875200.0
1526875200.0,adb29f,42.2634267,-88.41713839,146.1111528,165.5234048,-9.42848,2720.34,1526875200.0
1526875200.0,a83876,34.36587524,-112.4400797,211.5591139,271.9509267,0.97536,11300.46,1526875200.0
1526875200.0,a91e6e,41.88425872,-88.00406523,142.5047023,269.5863193,-7.15264,2743.2,1526875200.0
1526875200.0,a86717,34.51766968,-112.489406,215.0431302,270.4112067,0.32512,10698.48,1526875200.0
1526875200.0,a85999,42.90864072,-89.206107,194.7053308,267.1224752,0.0,10767.06,1526875200.0
1526875200.0,a646c4,40.66389181,-91.2334026,182.902749,243.4349488,0.32512,12016.74,1526875200.0
1526875200.0,ab5bd4,34.49972379,-113.0200195,232.0935073,315.5388159,0.0,8831.58,1526875200.0
1526875200.0,aa9eb3,34.16043091,-118.6718501,235.3995911,138.3664607,-4.55168,11285.22,1526875200.0
1526875200.0,a3621e,34.56764351,-110.6765556,211.9740268,275.7105931,0.0,10965.18,1526875200.0
1526875210.0,344346,40.17915344,-3.448852539,126.2905012,43.18431531,-0.65024,1562.1,1526875210.0
1526875210.0,7c2e69,-31.17242432,150.7434621,240.9471394,35.35280746,0.0,11269.98,1526875210.0
1526875210.0,78114b,52.2228241,4.418792725,105.5149601,113.5653959,-4.55168,1150.62,1526875210.0
1526875210.0,ad8ecf,33.41011047,-111.5661072,55.40014928,280.1620832,-0.65024,632.46,1526875210.0
1526875210.0,44ccd7,51.71334477,-3.365097046,224.4131861,95.78900885,0.0,12024.36,1526875210.0
1526875210.0,396442,48.4854126,3.742723967,195.6436687,352.4451799,-6.82752,5181.6,1526875210.0
1526875210.0,a0d611,38.01168823,-122.3014409,57.84922208,99.21102654,0.0,1394.46,1526875210.0
1526875210.0,76cdab,51.16938187,11.33422852,259.5985557,292.8556847,0.0,12336.78,1526875210.0
1526875210.0,acd299,46.37296515,-122.6640015,216.8471471,6.265138371,-11.3792,5875.02,1526875210.0
1526875210.0,48448d,41.02062161,29.40334667,152.4222131,261.4596723,-2.27584,4594.86,1526875210.0
1526875210.0,7c6289,-31.69178591,152.2127747,90.47342796,245.4751571,3.2512,5006.34,1526875209.0
1526875210.0,71bf47,37.30277369,126.6150433,138.7750236,160.960546,11.05408,2377.44,1526875210.0
1526875210.0,c02fb8,41.2959137,-74.84234619,273.6493938,128.8953151,-0.32512,11064.24,1526875210.0
1526875210.0,800b14,28.73762512,77.70381634,119.4618281,239.4593952,-3.90144,2796.54,1526875209.0
1526875210.0,4baac8,40.89971924,28.92022705,145.0549642,238.3392489,-11.05408,3192.78,1526875210.0
1526875210.0,0083c3,41.68748241,18.86582485,224.11167,322.367256,0.0,11209.02,1526875210.0
1526875210.0,a53340,32.96163785,-111.7537144,57.21209415,37.69424047,4.55168,815.34,1526875210.0
1526875210.0,155c0f,54.26403809,37.5851702,229.204865,336.3117139,-0.32512,9296.4,1526875210.0
1526875210.0,3c0caa,44.77340698,5.584586007,222.442754,203.0071993,0.32512,11407.14,1526875210.0
1526875210.0,7c6d26,-35.23673882,149.7244263,159.7437672,226.435357,-9.42848,4785.36,1526875210.0
1526875210.0,4240c8,55.20991516,39.05082254,182.2555371,272.2647545,-10.40384,3215.64,1526875209.0
1526875210.0,c0173a,52.63723755,-10.31768799,252.711419,99.13634572,0.32512,11468.1,1526875210.0
1526875210.0,06a0dd,42.3923764,-87.34073373,176.6012148,249.7174409,0.0,3390.9,1526875210.0
1526875210.0,7c5309,-35.46533203,149.2595673,116.4565326,273.2921471,-7.15264,1752.6,1526875210.0
1526875210.0,a8deda,51.92711264,0.423601423,226.5809015,80.98679564,0.0,11346.18,1526875210.0
1526875210.0,502cd7,45.07089906,71.38219322,227.1169758,290.6927528,0.0,12374.88,1526875210.0
1526875210.0,461f2f,55.44772339,23.25863925,243.1530328,186.0724564,0.0,11734.8,1526875210.0
1526875210.0,c058d5,49.21824646,-123.3164626,85.08256793,99.74709014,-4.55168,449.58,1526875209.0
1526875210.0,ac892e,38.5594979,-93.02160645,206.9433718,197.8043604,-0.32512,11437.62,1526875210.0
1526875210.0,78107a,34.74961853,-119.3282832,200.8441031,143.5410282,-5.20192,7162.8,1526875210.0
1526875210.0,440824,48.11100769,16.56971741,68.56594857,295.7960265,-0.65024,236.22,1526875210.0
1526875210.0,ad2f24,39.63285828,-104.6978561,172.431622,181.8806782,5.52704,3436.62,1526875210.0
1526875210.0,740823,32.04125356,35.25910669,107.8542612,291.5476654,-1.6256,1470.66,1526875210.0
1526875210.0,a5493c,36.17811817,-115.1471207,41.20693229,357.1375948,-0.65024,876.3,1526875210.0
1526875210.0,750413,14.25663757,120.4272987,187.396069,357.7974018,-10.72896,3901.44,1526875210.0
1526875210.0,7c6296,-32.79693604,115.6856428,96.25053394,181.8377368,0.65024,1432.56,1526875210.0
1526875210.0,a865e3,44.31307983,-70.41595459,216.8489777,189.2835528,-12.67968,8450.58,1526875210.0
1526875210.0,4ca5ac,55.95675659,16.57587225,258.6062452,227.9026523,0.0,11216.64,1526875210.0
1526875210.0,4ca5c6,43.07576325,-67.076634,279.1473831,41.56338843,0.0,12230.1,1526875210.0
1526875210.0,a09188,32.65379334,-98.04221191,212.8984089,264.5924834,9.42848,6408.42,1526875210.0
1526875210.0,7c779b,-25.86483765,150.0776471,280.8967881,110.0279319,0.0,11049.0,1526875210.0
1526875210.0,a1f3b5,33.92596746,-116.6576958,104.68651,284.5142663,-0.65024,3703.32,1526875210.0
1526875210.0,aba281,31.74406407,-93.82961426,222.2421897,292.8851213,0.0,11513.82,1526875210.0
1526875210.0,c04d13,44.73083496,-75.96791337,200.8737492,64.35370273,-0.32512,6545.58,1526875210.0
1526875210.0,8a0545,14.5614624,120.3296056,237.0520887,339.2838705,0.0,11003.28,1526875210.0
1526875210.0,a26801,32.05126229,-111.097954,143.5897898,138.4857912,-0.32512,2461.26,1526875210.0
1526875210.0,a46d4a,37.28508384,-121.4131961,240.5145367,107.0396577,7.15264,9182.1,1526875210.0
1526875210.0,4ca9d3,55.36280823,23.30806059,246.6339182,307.3718503,5.85216,9456.42,1526875210.0
1526875210.0,89613e,49.96544789,13.19190773,244.3609,286.2602047,0.0,12306.3,1526875210.0
1526875210.0,48520c,51.80964661,6.259311985,212.2410407,132.7407892,4.8768,9982.2,1526875210.0
1526875210.0,3c6748,45.90193176,22.46851479,220.7210576,294.9523531,0.0,11109.96,1526875210.0
1526875210.0,7c79d3,-31.32001974,150.6533203,57.26064462,328.5948363,0.32512,1402.08,1526875210.0
1526875210.0,a5db31,49.32618713,11.21204083,165.955839,226.7585286,7.15264,3512.82,1526875210.0
1526875210.0,4ca878,57.9142425,20.65393066,253.1859025,224.6707175,3.90144,11620.5,1526875210.0
1526875210.0,a8d4ad,30.59049962,-98.90386963,234.9798643,283.0322248,0.0,10858.5,1526875210.0
1526875210.0,40068f,53.88619995,-14.26653181,242.2075343,104.8922218,0.0,10988.04,1526875210.0
1526875210.0,471f85,55.6363678,15.55256237,260.4143781,248.1985905,0.0,11811.0,1526875210.0
1526875210.0,abbc52,42.55549544,-78.31546517,274.7053889,85.05814495,0.0,8549.64,1526875210.0
1526875210.0,ab30e6,-13.48855746,-58.16316303,236.9415361,311.3029507,-0.32512,11010.9,1526875210.0
1526875210.0,3c6669,38.28409486,25.87489253,227.907982,322.612773,0.0,10005.06,1526875210.0
1526875210.0,ad3a5f,32.72580422,-115.76989,235.0266002,83.59056031,0.32512,8221.98,1526875210.0
1526875210.0,4bcdce,51.08789063,6.701363228,126.6211709,238.1179925,-3.90144,1737.36,1526875210.0
1526875210.0,0d09b2,32.99533081,-116.3065979,238.4113556,121.7694916,0.0,14013.18,1526875210.0
1526875210.0,a203b0,38.43045044,-104.1014298,222.0617057,242.2476415,-0.97536,10096.5,1526875210.0
1526875210.0,c04c36,50.87608337,-114.4504444,213.3975474,261.2643392,0.0,12321.54,1526875210.0
1526875210.0,780133,24.18849622,118.6853027,234.0861527,228.9206825,-5.20192,10210.8,1526875210.0

